PDB	Name
8W8Q	BRIL
8W8W	BRIL
8W8Y	BRIL
8WC4	BRIL
8WC6	BRIL
8WCC	BRIL
8WKY	PGS (GlgA glycogen synthase)
8WKZ	Glycogen synthase (PGS)
8WKZ	BRIL
8WOG	BRIL
8WP1	BRIL
8WSS	BRIL
8WWJ	Fusion protein 1, Fusion protein 2
8WWK	Fusion protein 1
8WWK	Fusion protein 2
8WWL	Fusion protein
8WWM	Fusion protein 1
8WWM	Fusion protein 2
8WWN	Fusion protein 1
8WWN	Fusion protein 2
8X2K	BRIL
8X5X	BRIL
8X5Y	BRIL
8X63	BRIL
8X64	BRIL
8X79	BRIL
8X7A	BRIL
8X7A	LgBiT
8XML	BRIL
8XML	HiBiT
8XOS	LgBiT
8XQE	BRIL
8XQF	BRIL
8XQI	BRIL
8XQJ	BRIL
8XVJ	Endoglucanase H (GunH)
8XVJ	BRIL
8XVK	Endoglucanase H
8XVK	BRIL
8XVL	Endoglucanase H
8XVL	BRIL
8XXV	BRIL
8XXV	LgBiT
8Y01	BRIL
8Y01	LgBiT subunit
8Y01	HiBiT tag
8Y02	BRIL
8Y02	LgBiT
8Y02	HiBiT
8Y45	BRIL
8Y62	BRIL
8Y6Y	BRIL
8Y71	LgBiT
8YIC	Endolysin
8YNT	BRIL
8YZK	BRIL
8Z3Y	BRIL
8Z74	BRIL
8Z7J	BRIL
8Z87	BRIL
8Z8A	BRIL
8Z8B	BRIL
8ZBI	BRIL
8ZBJ	BRIL
8ZCE	Endoglucanase H
8ZCF	Endoglucanase H
8ZCJ	LgBiT
8ZCJ	beta2AR-N-terminal-segment
8ZCJ	HiBiT
8ZD1	BRIL
8ZFZ	BRIL
8ZFZ	LgBiT
8ZFZ	HiBiT
8ZMF	BRIL
8ZMG	BRIL
8ZPL	BRIL
8ZPM	BRIL
8ZPN	BRIL
8ZQE	BRIL
8ZQE	Maltose-binding protein (MBP)
8ZSJ	BRIL
8ZSP	BRIL
8ZSS	BRIL
8ZSV	BRIL
8ZVZ	BRIL
8ZW0	BRIL
8ZWF	BRIL
8ZWG	Beta-2 adrenergic receptor fusion segment
8ZX4	LgBiT
8ZX4	HiBiT
8ZX5	LgBiT
8ZX5	HiBiT
8ZYT	BRIL
8ZYY	BRIL
9B9Y	Glycogen synthase
9B9Z	Glycogen synthase (PGS)
9BA0	Glycogen synthase (PGS)
9BS9	BRIL
9BSB	BRIL
9CHU	Calcineurin subunit B type 1
9CHV	Calcineurin subunit B type 1
9CHX	Calcineurin subunit B type 1
9DYE	BRIL
9DYF	BRIL
9EE5	BRIL
9EHS	BRIL
9EI5	BRIL
9EKH	BRIL
9F33	Green fluorescent protein
9F34	EGFP
9FUP	BRIL
9GE3	Green fluorescent protein
9H2X	BRIL
9H37	BRIL
9HAP	BRIL
9HB3	BRIL
9HC0	Endolysin (T4-Lysozyme)
9HC3	Endolysin
9I3T	BRIL
9I52	Beta-2 adrenergic receptor
9I54	Beta-2 adrenergic receptor (fusion segment)
9IBW	BRIL
9IK8	BRIL
9IK9	BRIL
9IPY	BRIL
9IQR	BRIL
9IQS	mBril
9IQV	BRIL
9ISI	BRIL
9IY8	BRIL
9IYA	BRIL
9IZF	BRIL
9IZF	LgBiT tag
9IZH	BRIL
9IZH	LgBiT
9J05	BRIL
9J0B	BRIL
9J0F	BRIL
9J0I	BRIL
9JEA	BRIL
9JED	BRIL
9JEQ	BRIL
9JEQ	LgBiT
9JF4	de novo design protein
9JFU	BRIL
9JFU	Maltose-binding protein (MBP)
9JFW	Endoglucanase H
9JG0	BRIL
9JG1	BRIL
9JGK	BRIL
9JHJ	BRIL
9JKQ	BRIL
9JQY	GFP-like fluorescent chromoprotein
9JQZ	GFP-like fluorescent chromoprotein
9JRO	BRIL
9JRO	GFP-like fluorescent chromoprotein
9JRT	BRIL
9JRT	GFP-like fluorescent chromoprotein
9K3F	LgBiT
9K3F	HiBiT
9K3H	LgBiT
9K3H	HiBiT
9K3K	LgBiT
9K3K	HiBiT
9K3L	LgBiT subunit
9K3L	HiBiT
9K3P	LgBiT subunit
9K3P	HiBiT subunit
9K6L	exo-alpha-sialidase NanA
9K6L	LgBiT
9KFI	BRIL
9KFI	LgBiT
9KFJ	BRIL
9KFJ	LgBiT
9KFK	BRIL
9KFK	LgBiT
9KPF	exo-alpha-sialidase (NanA)
9KPF	LgBiT
9KT7	BRIL
9KT8	BRIL
9KUG	N-terminal M4-fusion tag
9KUT	Muscarinic acetylcholine receptor M4 N-terminal fragment
9KV6	M4 receptor N-terminal fragment
9KVG	BRIL
9KVH	BRIL
9KVI	BRIL
9KVP	M4 N-terminal region fusion
9KWG	M4 N-terminal tag
9KWX	Muscarinic acetylcholine receptor M4 (residues 2-23)
9KX6	M4 receptor N-terminal region (residues 2-23)
9KXS	Muscarinic acetylcholine receptor M4 (residues 2-23) N-terminal fusion
9KZ2	M4 receptor N-terminal tag
9KZ8	Muscarinic acetylcholine receptor M4 (N-terminal tag)
9L0H	Muscarinic acetylcholine receptor M4 N-terminal segment
9L3Z	BRIL
9L9O	BRIL
9LGM	Endoglucanase H
9LKB	MBP
9LKB	BRIL
9LL7	BRIL
9LL7	LgBiT
9LL8	BRIL
9LL8	LgBiT (NanoBiT)
9LLF	LgBiT
9LLG	BRIL
9LLH	LgBiT
9LMO	BRIL
9LMP	BRIL
9LRC	EGFP fusion protein
9LYB	BRIL
9LYD	Aspartate racemase
9M0D	BRIL
9M0R	BRIL
9M0R	LgBiT
9M0R	HiBiT
9M1O	BRIL
9M2F	BRIL
9M2F	LgBiT
9M2F	HiBiT
9M4Q	mBRIL
9M4T	mBRIL
9M8P	BRIL
9M8V	BRIL
9OXA	BRIL
9P0K	FP506
9P0L	GFP-like fluorescent chromoprotein FP506
9P0M	GFP-like fluorescent chromoprotein FP506
9P1T	BRIL
9PA1	BRIL
9PA2	BRIL
9PXV	BRIL
9PXW	BRIL
9PXX	BRIL
9PXY	BRIL
9PY3	BRIL
9PY4	BRIL
9QC1	DARPin-fusion
9QD4	DARPin fusion
9QP4	BRIL
9R42	BRIL
9RKF	Endolysin
9RKG	Endolysin
9RKH	Endolysin
9T9P	Beta-lactamase (Small exopenicillinase)
9T9P	Green fluorescent protein (GFP)
9U4J	BRIL
9U80	BRIL
9U81	BRIL
9UMJ	M4 N-terminus
9UMR	Muscarinic acetylcholine receptor M4 N-terminal fragment (2-23)
9UMX	Muscarinic acetylcholine receptor M4
9UPM	BRIL
9UPN	BRIL
9UPO	BRIL
9UPU	BRIL
9UPU	LgBiT
9UPU	HiBiT
9UPV	BRIL
9UPV	LgBiT
9UT8	mScarlet3
9UT8	mNeonGreen
9UTA	mScarlet3
9UTA	mNeonGreen
9UVT	BRIL
9UVU	BRIL
9UVV	BRIL
9UVW	BRIL
9UVX	BRIL
9UVY	ARK1
9UVZ	ARK1
9UWD	BRIL
9V3C	M4 Muscarinic Receptor N-terminal fragment (residues 2-23)
9V6O	BRIL
9V82	BRIL
9VJ5	BRIL
9VJE	BRIL
9VJF	BRIL
9VJG	BRIL
9VJT	Oplophorus-luciferin 2-monooxygenase catalytic subunit
9VMY	BRIL
9VNF	BRIL
9VNY	BRIL
9VNZ	BRIL
9VO0	BRIL
9VO1	BRIL
9W0H	Endo-1,4-beta-xylanase
9W0L	Endo-1,4-beta-xylanase
9W0P	b562RIL
9W0Q	BRIL
9W3F	T4-Lysozyme
9W49	BRIL
9W6W	BRIL
9WIJ	BRIL
9WIK	BRIL
9WIK	LgBiT tag
9WST	LgBiT
9WST	HiBiT
9XDQ	BRIL
9XDQ	LgBiT (Oplophorus-luciferin 2-monooxygenase)
9XDQ	HiBiT
9XQN	BRIL
9YFU	BRIL
