PDB	Name
8WGC	Maltose-binding protein
8WGD	T4-Lysozyme
8WGD	Maltose-binding protein
8WGD	LgBiT
8WGD	HiBiT
8WJX	BRIL
8WJX	Gaussia luciferase (NanoLuc)
8WM9	LgBiT
8WM9	HiBiT
8WMA	LgBiT
8WMA	HiBiT
8WPU	LgBiT
8WRZ	BRIL
8WWH	Fusion protein 1
8WWH	Fusion protein 2
8WZ2	BRIL
8X16	BRIL
8X17	BRIL
8X17	LgBiT
8XGO	BRIL
8XGO	LgBiT
8XGO	SmBiT
8XJK	LgBiT
8XJK	beta-2 adrenergic receptor N-terminal fragment (BN)
8XJL	LgBiT
8XJL	BN (beta-2 adrenergic receptor N-terminus fragment)
8XJM	LgBiT and BN Fusion
8XJN	LgBiT
8XJN	b2 adrenergic receptor N-terminal fragment (BN)
8XJO	LgBiT
8XJO	BN (beta-2 adrenergic receptor N-terminal fragment)
8XOR	LgBiT
8XQL	NanI sialidase
8XQL	LgBiT
8XQL	HiBiT
8XQN	NanI sialidase
8XQN	LgBiT
8XQN	HiBiT
8XQO	NanI sialidase (catalytic domain)
8XQO	LgBiT
8XQO	HiBiT
8XQP	NanI sialidase
8XQP	LgBiT
8XQP	HiBiT
8XQR	NanI sialidase
8XQR	LgBiT
8XQR	HiBiT
8XQS	Exo-alpha-sialidase (NanI)
8XQS	LgBiT
8XQT	NanI sialidase
8XQT	LgBiT
8XQT	HiBiT
8XVE	Sialidase H
8XVH	Sialidase H
8XVH	BRIL
8XVI	Endoglucanase H
8XVI	BRIL
8XXU	BRIL
8XXU	LgBiT
8Y52	BRIL
8Y52	LgBiT
8Y52	HiBiT
8Y53	BRIL
8YH0	LgBiT
8YH0	eGFP
8YH2	GFP
8YH2	Hemagglutinin (HA) tag
8YH3	GFP
8YH3	Hemagglutinin
8YH5	GFP
8YH5	Hemagglutinin
8YH6	HA-signal peptide
8YH6	LgBiT
8YH6	eGFP
8YKY	NanI sialidase
8YKY	LgBiT
8YNS	BRIL
8YRG	BRIL
8YRQ	Maltose/maltodextrin-binding periplasmic protein
8ZBE	HA-Flag-beta2AR(1-24) fusion
8ZBE	LgBiT
8ZBE	HiBiT
8ZFA	BRIL
8ZJD	LgBiT
8ZJD	HiBiT
